mentions_count,name
113,Daniel Ortega
113,Anthony Vazquez
65,Gaza Gaza
62,Mathias Morgenthaler
51,Donald Trump
50,Scarlett Johansson
40,Hillary Clinton
32,King Juan Carlos
30,Lopez Obrador
25,Nawaz Sharif
25,Rosario Murillo
22,Ilhan Saygili
20,Frank Sinatra
18,Gerry Adams
15,John Podesta
15,Isaias Afewerki
15,Mikhail Cohen
14,Alain Berset
14,Cornelia Krause
12,Brad Smith
12,Benjamin Netanyahu
12,Catholic Pope
11,Le Matin
11,Markus Diem Meier
11,Peter Hauenstein
10,Avigdor Liberman
10,Jonas Fricker
10,Canton Lucerne
10,Daech Selina
