mentions_count,name
159,Donald Trump
110,Theresa May
87,Stormy Daniels
60,Kylie Jenner
59,Claude Lanzmann
52,Juan Carlos
46,Lopez Obrador
42,Carles Puigdemont
39,Andr Kudelski
35,Simonetta Sommaruga
26,Joseph Oliver
24,Carolyn Bryant
21,Daniel Ortega
20,Angela Merkel
19,Isabelle Chevalley
18,Richard Branson
18,Le Matin
17,Vladimir Putin
17,Francoise Nyssen
16,King Bryant
16,King Juan Carlos
15,Duduzane Zuma
15,Betriebs Gmbh
13,States Daniels
13,Los Pelusos
12,Mary Jane
12,A Emmanuel Borloz
12,Sepp Blatter
12,Jews Europe
12,Boris Johnson
