mentions_count,name
117,Angela Merkel
88,Theresa May
81,Ivan Duque
62,Rupert Stadler
50,Horst Seehofer
30,Donald Trump
28,Gustavo Petro
27,Fastenmonats Ramadan
27,Pope Franois
27,Emrah Gurel
22,Alexis Tsipras
21,Álvaro Uribe
20,Ueli Maurer
20,Niels Ackermann
20,A Pope Franois
20,Mona Lisa
20,Le Matin
18,Pope Francis
17,Sos Mediterranee
17,Hassan Rohani
17,Michel Barnier
17,A Lucia Favre
16,Rudolf Diesel
15,A Alain Rebetez
15,Harry Kane
15,Canton Lucerne
15,Sasha Ruefer
15,Chur Bishop
14,A Ngos Geneva
14,Ngos Geneva
