mentions_count,name
80,Stefanie Christian
79,Tariq Ramadan
78,Cyril Ramaphosa
69,Jacob Zuma
47,Jawad Bendaoud
45,Boris Johnson
38,Fuentes Knight
28,Andr Kudelski
24,Al Faisal
24,Janadriyah Kulturfestival
22,Le Matin
22,Pierre-Yves Bosshard
18,Barack Obama
17,Alain Jakubowicz
16,Ueli Maurer
16,Wim Wenders
15,Stadtblog Zurich
15,Álvaro Colom
14,Thabo Mbeki
13,Michelle Obama
12,Guillaume Luyet
12,Rahimi Ahmad
12,Phi Phi
11,Chantal Godel
11,Donald Trump
11,Nordahl Lelandais
10,Yannick Passas
10,Antoine Zoya
10,Joseph Lopez
8,Nelson Mandela
