mentions_count,name
46,Andrea Stalder
36,Mikhail Graber
36,George Stierlin
30,Sophie Hunger
27,Donald Trump
26,Lucerne Allmend
22,Leonard Amber
21,Vladimir Putin
19,Pope Francis
17,Tamara Funiciello
16,Mathias Reynard
15,Leo Varadkar
14,Bill Clinton
14,Hillary Clinton
12,Cristian Levrat
12,Jeff Sessions
12,Bernie Sanders
12,Maarten Landolt
11,Tiana Moser
11,Jorge Silva
11,Milizfeuerwehr Zurich
10,Daniele Gatti
10,Peter Coyote
10,Johann Schneider-Ammann
10,Peter Hook
10,Philippe Bruggisser
10,Martina Achermann
9,Augusto Pinochet
8,Mauro Toscanini
8,Lausanne Charles
