mentions_count,name
119,Kim Jong
91,Donald Trump
76,Rudolf Diesel
62,Steve Bannon
61,Beznau John
41,Christoph Blocher
40,Le Matin
38,François Hollande
38,Thomas Fabius
36,Jordi Sanchez
34,Oskar Freysinger
31,Valais Oskar Freysinger
31,Walter Frey
30,Bernard Hinault
20,Magdalena Martullo
20,Nicolas Hulot
19,Lady Lex
19,Holland Sarkozy
19,Square Franois Holland
18,Suu Kyi
17,Andrew Gilmour
17,Harry Harrison
15,Rick Scott
15,Jared Kushner
14,Fabian Gasser
13,Paulo Sergio Pinheiro
12,Aung San
12,Simonetta Sommaruga
12,Maarten Schmid
12,Ueli Maurer
