mentions_count,name
50,Carles Puigdemont
35,Johann Schneider-Ammann
28,Shimon Tanner
27,Nicki Minaj
21,Vivian Suter
21,Vladimir Putin
20,Steven Lopez
18,Elliot Shefler
15,Schneider-Ammann Schweiz
14,Herr Shibli
14,Mikael Tofvesson
14,Jair Bolsonaro
14,Avenir Suisse
14,Mariano Rajoy
14,Jack Ma
13,Johnny Hallyday
12,Helga Portmann
12,Cristiana Serejo
12,Hillary Clinton
12,Mark Harbers
12,Willem Dafoe
12,Mario Gattiker
12,Steve Bannon
11,Angela Merkel
11,Matthias Ackeret
11,Werner Fehlmann
9,Olaf Scholz
9,Urutau Guajajara
9,Gaetan Bally
