mentions_count,name
69,Vale Thorens
61,Alexander Djouhri
52,Nicolas Sarkozy
35,Theresa May
33,Oprah Winfrey
28,Le Matin
27,Johann Schneider-Ammann
27,Donald Trump
25,Matthis Schick
25,Los Cabos
24,Pascal Brice
23,Jens Maier
22,Reese Witherspoon
20,A Pascal Gavillet
20,Florent Quiquerez
17,Bachir Saleh
17,Gary Oldman
17,Meryl Streep
16,Alain Berset
14,Harvey Weinstein
14,Angela Merkel
13,Visp Zermatt
13,Trond Giske
13,Gaza Gaza
12,Caroline Zuercher
12,Gero Neugebauer
12,Zealand Valais
12,Bruno Vinay
12,Charles Herbert Best
