mentions_count,name
79,Pascal Broulis
71,Nicolas Maduro
70,Kim Jong
38,Mario Fehr
29,Le Matin
26,Fernand Melgar
25,Bianca Jagger
25,Arkadi Babtchenko
24,Kim Yong Chol
23,Johann Schneider-Ammann
22,Roseanne Barr
22,Jacqueline Fehr
21,Emmen Egger
21,Roger Guenat
20,Gaza Gaza
19,Hector Gonzalez Antonio
19,Diego Aponte
19,Daniel Ortega
16,Carlo Cottarelli
16,Donald Trump
16,Basler Zeitung
16,Simonetta Sommaruga
16,Sarah Sanders
15,Christine Talos
15,Pope Franois
14,Canton Zurich
14,Nikolas Cruz
14,Wilbur Ross
