mentions_count,name
91,Tariq Ramadan
84,Michel Fourniret
82,El Chapo
57,Nikolas Cruz
50,Jennifer Aniston
45,Justin Theroux
39,Christophe Naudin
34,Stefanie Christian
34,Dueli Maurer
33,Le Matin
30,Sylvie Vartan
25,Henda Ayari
23,Michel Temer
23,Philippe Stalder
23,Nazli Ilicak
21,Sigmar Gabriel
21,Johnny Hallyday
21,Joanna Parrish
21,Christian Toro
19,Mehmet Altan
17,Donald Trump
16,Barack Obama
16,Nicolas Sarkozy
15,Carl Lutz
14,Tyler Toro
14,Lory Alhadeff
14,John Milnor
13,Desmond Tutu
13,Ian Logan
12,Binali Yildirim
