mentions_count,name
96,Donald Trump
87,Angela Merkel
68,Breel Embolo
58,Pope Geneva
44,Alain Berset
41,Andres Manuel Obrador
36,Horst Seehofer
34,Anthony Kennedy
33,Le Matin
29,Bundesrat Berset
28,Tariq Ramadan
25,A Pope Geneva
23,Lionel Girardin
20,Abu Khattala
19,Billy Elliot
18,Barack Obama
18,David Don
17,Vladimir Putin
17,Hillary Clinton
16,Ron Bateman
16,Justice Valais
15,Matthew Shirley
15,Phil Davis
14,Catholic Pope
14,Sturmer Drmic
14,Sturmer Josip Drmic
13,Josip Drmic
13,Donald Tusk
13,A Laurent Antonoff
12,Pascal Broulis
