mentions_count,name
2064,Donald Trump
1339,Carles Puigdemont
1002,Tariq Ramadan
920,Nicolas Sarkozy
887,Theresa May
815,Vladimir Putin
740,Le Matin
670,Kim Jong
600,Stephen Hawking
583,Cambridge Analytica
391,Kim Wall
349,Arnaud Beltrame
346,Oleg Artemyev Baikonur Baikonur
346,Ricky Arnold
343,Stormy Daniels
333,Rudolf Diesel
313,Angela Merkel
312,Mark Zuckerberg
307,François Hollande
297,Simonetta Sommaruga
292,Pascal Broulis
276,Silvio Berlusconi
233,Steve Bannon
228,Christoph Blocher
212,Rex Tillerson
203,Mauro Poggia
202,Thomas Fabius
199,Alain Berset
198,Christine Talos
