mentions_count,name
69,Anna Gabriel
52,Le Matin
45,Martin Buber
41,Johann Schneider-Ammann
33,Kim Jong
27,Nabil Rajab
25,Tariq Ramadan
20,Nick Ayers
18,David Alexander Cecil
17,Forza Nuova
16,Claudia Salzmann
16,Kim Yong
15,Donald Trump
15,Nikolas Cruz
15,Dueli Maurer
14,John Ausonius
13,Patrick Leahy
12,Mahmoud Abbas
12,Markus Ritter
12,Raúl Castro
11,Mike Pence
11,Dua Lipa
11,Islamologist Geneva
10,Kaspar Manz
10,Emmen Egger
10,François Hollande
9,Catalan Anna Gabriel
9,Nicolas Maduro
9,Katharine Graham
