mentions_count,name
44,Angela Merkel
43,Jamal Khashoggi
41,Ulrich Engler
40,Theresa May
39,Julian Assange
30,Sun Myung Moon
25,Prince Harry
23,Donald Trump
19,Regine Sauter
19,Eddie Lampert
18,Edward Philippe
16,Alain Thirion
15,Yamal Khashoggi
14,Canton Lucerne
14,Lenin Moreno
14,Edouard Philippe
13,Queen Elizabeth
13,Tayyip Erdogan
12,Andrew Brunson
12,Almagro Luis
12,King Salmane Arabia
12,Horst Seehofer
12,Kim Jong
12,Markus Diethelm
12,Marjory Winkler
11,Facebook Abmelden
11,Abdel Rahman
11,Michel Barnier
11,Hatice Cengiz
10,Johann Schneider-Ammann
