GLOBALEVENTID,MentionSourceName,Confidence,MentionDocTone
735662440,abqjournal.com,20,-4.46428571428571
735662440,abqjournal.com,20,-4.57038391224862
735662440,bdtonline.com,20,-5
735662440,beaumontenterprise.com,20,-4.78927203065134
735662440,bellinghamherald.com,20,-4.64684014869888
735662440,bgdailynews.com,20,-4.59558823529412
735662440,bozemandailychronicle.com,20,-4.59558823529412
735662440,bradenton.com,20,-4.64684014869888
735662440,caledonianrecord.com,20,-3.76068376068376
735662440,cbslocal.com,20,-4.44839857651245
735662440,charlotteobserver.com,20,-4.48598130841121
735662440,chieftain.com,20,-4.75285171102662
735662440,chron.com,20,-4.78927203065134
735662440,ctpost.com,20,-4.78927203065134
735662440,dailyherald.com,20,-4.80769230769231
735662440,dailymail.co.uk,20,-4.68164794007491
735662440,dailyprogress.com,20,-4.58715596330275
735662440,easttexasmatters.com,20,-4.73484848484848
735662440,expressnews.com,20,-4.78927203065134
735662440,fairfieldcitizenonline.com,20,-4.78927203065134
735662440,fredericksburg.com,20,-4.58715596330275
735662440,go.com,20,-4.75285171102662
735662440,godanriver.com,20,-4.58715596330275
735662440,greensboro.com,20,-4.57875457875458
735662440,greenwichtime.com,20,-4.78927203065134
735662440,herald-dispatch.com,20,-5.23809523809524
735662440,houstonchronicle.com,20,-4.78927203065134
735662440,lacrossetribune.com,20,-4.59558823529412
735662440,leaderpost.com,20,-4.68164794007491
735662440,lmtonline.com,20,-4.78927203065134
735662440,macon.com,20,-4.36363636363636
735662440,middletownpress.com,20,-4.78927203065134
735662440,montrealgazette.com,20,-4.68164794007491
735662440,morganton.com,20,-4.59558823529412
735662440,mrt.com,20,-4.78927203065134
735662440,muscatinejournal.com,20,-4.59558823529412
735662440,myjournalcourier.com,20,-4.78927203065134
735662440,mynorthwest.com,20,-4.52079566003617
735662440,myplainview.com,20,-4.78927203065134
735662440,mysanantonio.com,20,-4.78927203065134
735662440,mywabashvalley.com,20,-4.73484848484848
735662440,nationalpost.com,20,-4.68164794007491
735662440,nationalpost.com,20,-6.13718411552346
735662440,newmilfordspectrum.com,20,-4.78927203065134
735662440,newsadvance.com,20,-4.58715596330275
735662440,newspressnow.com,20,-4.59558823529412
735662440,newstimes.com,20,-4.78927203065134
735662440,nhregister.com,20,-4.78927203065134
735662440,nptelegraph.com,20,-4.59558823529412
735662440,oanow.com,20,-4.57875457875458
735662440,omaha.com,20,-4.7438330170778
735662440,ourmidland.com,20,-4.78927203065134
735662440,pressandjournal.co.uk,20,-4.25824175824176
735662440,qconline.com,20,-4.59558823529412
735662440,record-eagle.com,20,-4.27046263345196
735662440,record-eagle.com,20,-4.27807486631016
735662440,registercitizen.com,20,-4.78927203065134
735662440,roanoke.com,20,-4.18848167539267
735662440,scnow.com,20,-4.59558823529412
735662440,seattletimes.com,20,-4.58715596330275
735662440,sfgate.com,20,-4.78927203065134
735662440,siouxcityjournal.com,20,-4.59558823529412
735662440,stamfordadvocate.com,20,-4.78927203065134
735662440,startribune.com,20,-4.61254612546126
735662440,stltoday.com,20,-4.7438330170778
735662440,stripes.com,20,-4.29553264604811
735662440,tbo.com,20,-4.69924812030075
735662440,thecourier.co.uk,20,-4.25824175824176
735662440,thedailytimes.com,20,-4.58715596330275
735662440,thehour.com,20,-4.78927203065134
735662440,theindependent.com,20,-4.59558823529412
735662440,timesunion.com,20,-4.78927203065134
735662440,tri-cityherald.com,20,-4.36363636363636
735662440,tucson.com,20,-4.57875457875458
735662440,wacotrib.com,20,-4.58715596330275
735662440,wbt.com,20,-4.68164794007491
735662440,westport-news.com,20,-4.78927203065134
