mentions_count,person,tone_avg,tone_std,source_index
1,Mikhail Gorbachev,-1.288,,129
1,Mikhail Gorbachev,-1.339,,417
1,Mikhail Gorbachev,-0.794,,166
1,Mikhail Gorbachev,-0.661,,288
1,Mikhail Gorbachev,-1.739,,215
1,Mikhail Gorbachev,-0.424,,151
1,Mikhail Gorbachev,-2.632,,426
1,Mikhail Gorbachev,-1.397,,182
1,Mikhail Gorbachev,-0.424,,153
1,Mikhail Gorbachev,6.452,,148
1,Mikhail Gorbachev,4.496,,89
1,Mikhail Gorbachev,0.617,,562
1,Mikhail Gorbachev,-1.187,,103
1,Mikhail Gorbachev,-0.377,,168
1,Mikhail Gorbachev,-1.699,,138
1,Mikhail Gorbachev,-0.424,,160
1,Mikhail Gorbachev,-1.131,,105
1,Ronald Reagan,0.000,,147
1,Ronald Reagan,-1.295,,117
1,Ronald Reagan,1.154,,540
1,Ronald Reagan,1.164,,499
1,Ronald Reagan,0.000,,232
1,Ronald Reagan,-0.763,,287
1,Ronald Reagan,-3.042,,280
1,Ronald Reagan,-1.220,,488
1,Ronald Reagan,-1.453,,87
1,Ronald Reagan,0.000,,230
1,Ronald Reagan,-1.914,,320
1,Ronald Reagan,-1.639,,579
1,Ronald Reagan,-0.924,,83
1,Ronald Reagan,-1.288,,534
1,Ronald Reagan,0.161,,50
1,Ronald Reagan,-1.961,,582
1,Ronald Reagan,-1.901,,544
1,Ronald Reagan,-1.425,,555
1,Ronald Reagan,-1.453,,99
1,Ronald Reagan,-5.668,,494
1,Ronald Reagan,0.000,,416
1,Ronald Reagan,-1.721,,619
1,Ronald Reagan,-1.739,,215
1,Ronald Reagan,0.200,,617
1,Ronald Reagan,-1.826,,423
1,Ronald Reagan,-0.900,,475
1,Ronald Reagan,3.612,,153
1,Ronald Reagan,-2.239,,89
1,Ronald Reagan,-0.358,,102
1,Ronald Reagan,0.000,,228
1,Ronald Reagan,-1.187,,103
1,Ronald Reagan,-1.407,,477
1,Ronald Reagan,3.974,,64
1,Ronald Reagan,-3.200,,276
1,Ronald Reagan,-2.374,,278
1,Ronald Reagan,-1.131,,105
1,Ronald Reagan,-1.244,,535
1,Saddam Hussein,1.164,,499
1,Saddam Hussein,-1.972,,97
1,Saddam Hussein,-3.586,,336
1,Saddam Hussein,-1.220,,488
1,Saddam Hussein,-5.839,,455
1,Saddam Hussein,-0.953,,454
1,Saddam Hussein,-1.453,,87
1,Saddam Hussein,-1.914,,320
1,Saddam Hussein,-6.803,,178
1,Saddam Hussein,-5.051,,179
1,Saddam Hussein,-0.942,,459
1,Saddam Hussein,-5.193,,591
1,Saddam Hussein,-1.901,,544
1,Saddam Hussein,-4.589,,551
1,Saddam Hussein,-1.425,,555
1,Saddam Hussein,-1.453,,99
1,Saddam Hussein,0.000,,416
1,Saddam Hussein,-1.540,,62
1,Saddam Hussein,-1.721,,619
1,Saddam Hussein,-9.234,,575
1,Saddam Hussein,-2.533,,335
1,Saddam Hussein,0.857,,2
1,Saddam Hussein,-1.397,,182
1,Saddam Hussein,-4.132,,423
1,Saddam Hussein,-2.239,,89
1,Saddam Hussein,1.321,,436
1,Saddam Hussein,-0.949,,562
1,Saddam Hussein,2.085,,422
1,Saddam Hussein,-1.407,,477
1,Saddam Hussein,-3.200,,276
1,Saddam Hussein,-2.374,,278
1,Saddam Hussein,-1.131,,105
1,Saddam Hussein,-1.244,,535
1,Theresa May,-3.403,,540
1,Theresa May,-1.304,,487
1,Theresa May,3.571,,499
1,Theresa May,-2.013,,85
1,Theresa May,-2.013,,97
1,Theresa May,-2.899,,407
1,Theresa May,-4.296,,119
1,Theresa May,-0.080,,175
1,Theresa May,-1.376,,83
1,Theresa May,4.701,,534
1,Theresa May,-0.201,,544
1,Theresa May,4.437,,627
1,Theresa May,-0.584,,494
1,Theresa May,3.984,,62
1,Theresa May,0.000,,288
1,Theresa May,-2.174,,159
1,Theresa May,-2.239,,2
1,Theresa May,-1.394,,612
1,Theresa May,-2.787,,490
1,Theresa May,-1.949,,167
1,Theresa May,-2.298,,102
1,Theresa May,-2.239,,562
1,Theresa May,-1.613,,100
1,Theresa May,-3.182,,573
1,Theresa May,-1.587,,103
1,Theresa May,0.459,,160
1,Theresa May,4.286,,556
1,Vladimir Putin,-2.992,,140
1,Vladimir Putin,2.821,,244
1,Vladimir Putin,3.571,,499
1,Vladimir Putin,-0.735,,232
1,Vladimir Putin,-4.900,,85
1,Vladimir Putin,-1.611,,119
1,Vladimir Putin,0.000,,319
1,Vladimir Putin,-2.604,,206
1,Vladimir Putin,-2.509,,591
1,Vladimir Putin,0.000,,582
1,Vladimir Putin,-1.493,,256
1,Vladimir Putin,-3.668,,99
1,Vladimir Putin,-3.507,,561
1,Vladimir Putin,-0.584,,494
1,Vladimir Putin,-3.064,,52
1,Vladimir Putin,-2.452,,273
1,Vladimir Putin,1.224,,564
1,Vladimir Putin,-4.498,,622
1,Vladimir Putin,-1.062,,159
1,Vladimir Putin,-3.676,,188
1,Vladimir Putin,4.167,,242
1,Vladimir Putin,-5.185,,151
1,Vladimir Putin,-2.019,,426
1,Vladimir Putin,-5.185,,153
1,Vladimir Putin,-2.216,,88
1,Vladimir Putin,6.250,,102
1,Vladimir Putin,-0.790,,422
1,Vladimir Putin,-3.688,,100
1,Vladimir Putin,-1.437,,351
1,Vladimir Putin,-0.730,,228
1,Vladimir Putin,0.932,,138
1,Vladimir Putin,-5.185,,160
1,Vladimir Putin,-1.698,,105
