mentions_count,tone_avg,tone_std,source_index,person_index
306,-1.785,0.496,414,11
162,-2.840,0.934,414,0
135,0.211,2.212,125,1
96,-1.519,2.337,135,0
77,-1.775,2.702,185,0
73,-2.078,1.785,148,0
67,-2.964,0.390,414,3
66,-4.290,2.705,152,0
61,-2.910,1.932,543,0
56,-2.448,2.629,118,0
54,-4.975,2.708,155,0
50,-1.873,1.751,414,1
45,-1.059,2.080,95,0
42,-2.553,1.982,135,6
41,-1.375,2.526,135,2
41,-3.178,1.986,598,0
39,-2.475,2.004,138,0
37,-2.838,0.394,414,12
37,-3.213,1.054,414,14
36,-1.770,2.028,88,0
35,-0.848,2.594,423,0
34,-0.953,1.553,135,5
33,-2.783,0.849,414,5
33,-2.915,0.334,414,19
33,-2.947,0.370,414,21
31,-3.279,5.168,152,1
30,-8.525,0.000,152,13
29,1.859,2.619,627,9
28,4.283,2.379,556,9
28,-2.798,2.354,135,4
28,-1.935,0.000,155,15
27,-1.562,2.049,339,0
26,-4.574,2.875,155,2
26,-3.717,3.407,154,0
26,-2.957,2.327,166,0
26,-1.606,2.039,185,1
25,-1.907,2.180,464,0
24,-4.146,3.194,155,16
24,-3.010,2.482,141,0
24,-1.266,1.712,133,0
24,-1.618,1.681,98,1
24,-1.702,1.709,103,1
23,-4.085,2.377,543,4
23,-3.030,2.559,488,0
23,-1.754,1.819,460,0
23,-3.184,2.747,127,0
23,-4.833,0.561,94,8
22,-2.508,3.749,436,0
22,-2.973,3.246,562,0
22,-4.764,0.000,85,8
22,-4.764,0.000,99,8
22,-4.764,0.000,95,8
22,-4.748,0.000,92,8
22,-3.685,4.804,155,1
21,-2.034,0.061,125,4
21,-0.794,2.101,538,0
21,-2.203,1.917,94,0
21,-3.049,1.736,135,3
20,-1.710,1.695,147,0
20,-3.310,1.997,521,0
20,-0.813,1.931,83,15
20,-0.360,1.596,406,11
19,0.386,3.345,138,1
19,-1.342,1.544,165,19
18,-4.530,3.185,152,2
18,-0.413,2.328,185,2
18,-2.306,5.372,152,5
17,-2.676,1.957,406,0
17,-1.738,2.147,82,0
17,-2.789,1.904,591,0
17,-1.891,1.409,99,0
17,-2.304,1.958,101,0
17,-3.831,2.507,168,0
17,-2.643,2.003,157,3
16,-3.120,1.942,598,2
16,-1.959,1.495,414,2
16,-5.314,2.857,167,0
16,-5.932,0.000,152,14
16,-8.567,0.077,155,13
16,-8.075,0.000,155,18
15,-1.731,1.882,135,23
15,-8.525,0.000,152,16
15,2.264,2.401,83,16
15,-2.909,2.269,141,2
15,-1.071,1.372,127,2
15,-2.529,2.942,140,0
15,-3.353,2.971,454,0
15,-2.541,2.938,83,0
15,0.498,2.440,152,3
15,-3.386,1.577,543,3
15,0.070,2.022,127,1
15,1.675,1.541,416,26
15,0.400,1.316,422,26
14,-1.715,1.070,85,0
14,-2.934,4.372,132,0
14,-0.578,2.150,188,0
14,-2.428,2.906,104,0
14,-3.032,3.883,535,0
13,-4.521,2.762,157,0
13,-5.976,1.882,0,0
13,-2.768,1.626,325,0
13,-2.832,1.392,414,6
12,-2.434,2.213,166,2
12,-3.140,2.058,459,0
12,-2.559,4.711,102,0
12,-5.932,0.000,155,14
12,-3.181,2.060,543,14
12,-0.711,0.807,185,5
12,-2.437,2.727,148,3
12,-2.038,0.587,414,17
12,-1.386,2.668,135,1
12,-4.583,1.483,598,7
12,-0.762,1.067,147,19
12,-8.046,0.066,152,18
11,-1.507,1.845,88,2
11,-1.260,2.161,138,2
11,-2.902,2.276,598,3
11,-1.094,1.772,118,3
11,-2.234,2.001,460,3
11,-5.412,3.417,521,3
11,-2.566,2.366,118,1
11,-1.006,1.501,126,1
11,-0.410,0.691,135,25
11,-0.066,2.015,168,19
11,-2.420,0.925,422,11
10,0.076,0.277,133,23
10,-2.399,3.690,118,2
10,-3.726,2.955,154,2
10,-1.296,1.842,460,2
10,0.383,2.505,95,2
10,-0.805,1.764,423,2
10,-3.024,1.513,414,4
10,-1.432,1.618,182,0
10,-1.327,0.989,538,14
10,-0.288,1.366,127,5
10,-1.650,1.336,127,3
10,-2.672,1.712,562,3
10,-1.254,1.572,126,13
10,-2.491,1.726,543,7
10,-5.260,1.850,148,7
10,2.663,0.000,152,26
9,-1.627,1.699,127,23
9,-2.043,2.056,127,4
9,-0.627,0.700,126,0
9,-2.720,4.920,141,1
9,-2.570,2.687,127,6
8,-0.776,0.418,206,12
8,-3.392,1.978,156,0
8,-4.556,0.831,627,0
8,-1.016,1.599,125,0
8,-1.832,1.401,129,0
8,-1.437,2.436,330,0
8,-0.814,2.090,201,0
8,-5.464,0.415,543,8
8,-4.244,1.879,598,14
8,-5.932,0.000,154,14
8,-8.075,0.000,155,5
8,-0.241,0.675,133,5
8,1.852,0.000,155,3
8,-1.008,2.101,141,3
8,-3.545,0.702,89,3
8,-1.911,2.062,598,1
8,-3.877,4.750,166,1
8,0.226,0.639,562,1
8,-0.855,0.914,422,28
8,0.276,0.804,325,11
8,2.650,1.296,330,26
7,2.851,1.742,591,16
7,-4.759,3.522,167,16
7,-4.078,1.455,488,2
7,-2.577,1.979,543,2
7,-2.820,1.152,148,2
7,-4.769,3.481,167,2
7,-3.110,1.025,135,24
7,-3.457,2.294,185,4
7,-1.761,1.695,534,0
7,-3.681,2.307,52,0
7,-2.696,1.763,151,0
7,-2.726,1.755,153,0
7,-5.955,4.040,118,14
7,-5.701,0.000,141,14
7,-5.024,0.941,535,14
7,-2.118,1.614,83,3
7,-0.991,3.563,154,3
7,-0.530,1.958,538,3
7,-3.058,2.310,464,3
7,-2.133,0.000,166,3
7,-5.231,2.152,454,7
7,0.305,2.637,538,7
7,-1.935,0.000,166,15
7,-1.935,0.000,167,15
7,-1.462,2.511,135,15
7,-0.583,0.078,325,28
7,-0.697,2.010,140,19
7,-0.230,1.611,156,19
7,-0.389,1.780,153,19
7,-3.009,2.307,185,6
7,-3.954,4.028,138,6
7,1.462,1.275,185,26
6,3.375,0.000,499,9
6,-2.462,0.360,414,23
6,-0.343,0.531,88,12
6,-6.243,2.559,141,16
6,-4.189,3.491,166,16
6,-3.215,2.241,562,2
6,-3.525,2.876,168,2
6,-1.228,2.532,118,4
6,-3.443,1.105,155,4
6,-4.552,4.057,138,4
6,-1.478,1.719,87,0
6,-2.500,3.167,230,0
6,-4.138,3.047,89,0
6,-2.804,2.594,351,0
6,-2.459,3.323,160,0
6,-3.746,1.473,227,0
6,-5.578,0.000,422,8
6,-2.643,2.803,118,5
6,-0.330,1.283,125,5
6,-0.422,0.683,423,5
6,0.380,1.596,88,5
6,-4.086,4.790,488,3
6,-3.176,2.059,454,3
6,-1.391,0.002,561,3
6,-2.473,1.774,94,3
6,-2.269,1.759,185,3
6,-1.103,1.001,423,3
6,-3.494,0.550,64,3
6,1.401,1.187,125,17
6,2.150,1.177,190,1
6,-7.886,0.000,141,13
6,-8.525,0.000,167,13
6,-5.901,2.162,422,13
6,-5.664,0.415,152,7
6,-3.842,1.928,464,7
6,-3.727,0.925,521,7
6,-3.059,2.869,135,7
6,-4.529,1.225,552,10
6,-4.525,0.141,414,28
6,-2.954,0.000,164,19
6,-0.052,1.688,151,19
6,-2.639,1.597,118,6
6,-3.443,1.105,155,6
6,-2.067,0.114,125,6
6,-3.558,1.863,95,6
6,-1.624,3.845,543,21
6,-0.471,0.618,339,11
6,-0.260,1.759,423,11
6,-0.451,0.974,88,11
6,-8.018,0.088,167,18
5,3.310,0.000,98,9
5,-3.404,0.035,135,9
5,-1.304,2.296,118,23
5,-1.858,3.654,138,23
5,-2.691,1.077,543,12
5,-2.015,2.760,127,12
5,5.595,7.566,185,16
5,-1.847,0.117,85,2
5,-0.848,0.832,133,2
5,-2.149,0.648,127,24
5,0.107,0.909,185,24
5,-3.833,1.703,185,20
5,-1.458,1.510,487,0
5,-0.928,1.483,287,0
5,-1.047,0.956,374,0
5,-4.441,1.506,579,0
5,-5.937,2.376,551,0
5,-2.427,0.501,561,0
5,-4.415,1.959,494,0
5,-3.942,4.607,416,0
5,-4.882,2.047,449,0
5,-6.211,0.000,313,0
5,-3.549,2.037,617,0
5,-2.094,2.121,475,0
5,-4.501,1.502,505,0
5,-1.647,2.399,573,0
5,-2.903,3.641,477,0
5,-2.653,3.560,105,0
