mentions_count,tone_avg,tone_std,source_index,person_index
17,3.495,1.121,5,5
15,2.713,1.707,3,5
15,3.443,1.188,5,7
15,-4.319,1.454,1,1
14,3.758,0.008,0,5
13,2.645,1.833,3,7
12,3.758,0.008,0,7
12,-5.172,0.843,3,1
11,-5.799,0.925,5,1
11,-4.666,1.371,0,1
6,-6.377,0.006,5,23
6,-5.849,0.007,0,23
6,-5.861,0.000,3,23
6,-3.418,0.129,3,9
5,-6.952,1.696,5,16
5,-2.677,0.000,3,0
5,-1.934,0.412,12,2
5,-4.583,1.334,5,25
4,-3.418,0.136,3,13
4,-6.699,0.019,0,4
3,-5.718,1.429,0,16
3,-5.280,0.000,6,16
3,-6.401,1.697,3,16
3,-5.568,0.000,1,23
3,-1.952,1.938,10,0
3,-1.355,0.036,7,0
3,7.317,0.000,12,5
3,4.636,4.644,12,7
3,-5.054,0.000,8,1
3,-6.971,0.059,6,1
3,-1.355,0.036,7,2
3,-3.714,0.000,5,9
3,-4.221,1.301,3,25
2,-3.714,0.000,5,13
2,-3.394,0.011,5,19
2,-2.587,0.155,3,19
2,-4.851,0.000,1,16
2,-1.578,2.687,1,0
2,-3.211,0.696,9,0
2,-5.280,0.000,6,0
2,-7.301,0.000,5,4
2,-2.719,0.000,9,4
2,-4.385,0.308,10,4
2,-3.478,0.000,1,3
2,-3.394,0.011,5,2
2,0.424,0.000,9,2
2,-0.845,0.396,10,2
2,-1.034,0.000,8,2
2,-2.587,0.155,3,2
2,-2.579,0.000,0,25
2,-6.699,0.023,0,12
1,0.424,,9,19
1,-0.513,,8,19
1,-0.787,,0,19
1,-2.078,,12,19
1,-2.786,,11,19
1,-3.611,,9,21
1,3.030,,8,21
1,-7.051,,7,21
1,-5.325,,8,4
1,5.882,,9,5
1,1.108,,1,7
1,5.882,,9,7
1,-5.138,,1,18
1,-9.009,,9,1
1,-8.387,,14,1
1,-2.719,,9,3
1,-4.167,,10,3
1,-5.325,,8,3
1,0.000,,1,2
1,-0.787,,0,2
1,-2.786,,11,2
1,-3.181,,1,25
1,-7.301,,5,12
1,-2.719,,9,12
1,-3.327,,12,12
