mentions_count,tone_avg,tone_std,source_index,person_index
159,-1.433,2.000,2,0
87,-2.372,2.674,13,0
66,-1.257,1.971,17,0
62,-1.354,2.122,1,0
49,-1.025,2.631,8,0
29,-2.042,2.508,0,0
28,-2.608,3.019,9,0
28,-1.645,2.126,2,2
28,-1.077,0.000,8,10
25,-1.622,1.506,2,1
23,-3.175,2.353,8,19
20,-2.062,2.867,3,0
19,-2.360,2.497,3,1
19,-1.024,1.841,14,0
19,-1.828,0.941,2,6
19,-0.555,1.383,2,7
19,-3.790,2.027,2,8
19,-2.587,2.106,1,3
18,-1.415,1.566,1,1
18,-2.142,2.262,2,5
17,-0.813,1.512,3,11
17,-2.647,2.737,13,2
17,-4.386,0.503,6,4
16,-1.785,1.133,13,6
16,-3.898,3.602,8,2
16,-2.341,1.227,17,8
15,-2.482,2.105,8,1
15,-1.573,2.316,13,1
15,-1.001,1.749,2,9
14,-1.280,0.870,13,3
13,-0.363,2.472,10,0
13,-2.095,1.912,8,18
13,-6.417,2.009,2,24
13,-1.951,0.434,2,3
13,-2.902,2.302,2,12
12,-0.622,1.452,2,11
11,-1.030,2.006,17,2
11,-0.772,0.432,1,10
11,-1.203,0.674,8,14
11,-1.944,1.691,13,7
11,-2.397,2.524,8,8
10,-1.786,1.606,8,11
10,0.927,0.000,2,25
10,-6.762,1.180,13,4
10,-3.655,2.644,8,17
10,-5.788,3.222,13,17
10,-1.745,2.343,8,9
10,-3.482,1.986,17,13
10,-5.480,1.019,13,15
10,-2.329,1.287,0,3
9,-2.157,1.822,6,0
9,-1.206,1.189,17,6
9,0.000,0.000,18,10
9,-0.620,2.623,6,22
9,-3.012,2.155,2,22
9,-3.166,1.975,1,16
9,-2.010,1.940,13,26
9,-3.464,1.470,18,5
9,-5.277,2.086,2,15
9,-1.951,2.193,6,8
9,-1.700,1.655,3,3
9,-3.669,2.808,13,12
9,-1.382,1.291,2,21
8,-2.554,2.404,6,1
8,-0.561,1.742,7,0
8,-0.282,1.860,18,0
8,0.581,0.000,10,25
8,0.822,0.000,6,25
8,-3.267,3.037,7,2
8,-1.108,0.539,13,16
8,-4.399,1.427,2,17
8,-1.831,2.162,8,5
8,-2.084,1.671,18,7
8,-5.920,1.018,8,15
8,-2.810,2.733,1,20
8,-0.379,1.501,17,3
8,-2.650,1.457,13,21
7,-0.163,1.085,9,1
7,-0.823,1.770,17,1
7,-2.585,3.128,0,2
7,-3.516,1.567,6,2
7,-1.371,1.433,17,23
7,-3.778,0.949,1,22
7,1.137,2.811,13,14
7,-0.631,0.961,17,26
7,-3.084,1.561,17,5
6,-2.166,3.653,12,0
6,-1.399,0.698,1,6
6,-0.152,1.970,1,23
6,-6.156,0.000,18,4
6,-2.391,2.764,3,4
6,-1.517,1.068,7,14
6,-0.554,0.977,2,27
6,-2.079,2.277,5,9
6,-2.180,1.667,13,9
6,-2.295,1.448,13,5
6,-3.287,0.630,1,15
6,-4.333,0.000,1,8
6,-1.091,2.374,14,3
6,-1.233,2.457,1,12
6,-3.134,2.823,3,12
5,-2.664,2.295,0,1
5,1.499,0.000,3,25
5,-1.608,4.524,1,2
5,-4.474,1.872,18,2
5,-2.964,1.446,11,2
5,-0.532,1.416,2,23
5,-2.144,0.632,17,18
5,-3.063,1.945,2,18
5,0.299,1.343,6,10
5,-8.474,1.335,1,4
5,-8.424,2.113,8,4
5,-3.549,2.681,2,4
5,-3.300,0.254,8,16
5,-1.050,2.056,17,16
5,-1.020,0.345,3,14
5,-2.441,2.935,2,14
5,-4.496,0.423,6,24
5,-4.545,2.064,1,5
5,-0.154,0.962,6,5
5,-3.806,3.214,8,13
5,-3.288,1.372,13,13
5,-1.986,3.234,2,13
5,-2.437,1.191,8,3
5,-2.118,0.161,10,3
5,-0.630,0.352,8,21
4,-1.256,1.000,1,11
4,-1.642,1.563,13,11
4,-2.994,1.344,5,0
4,-2.380,0.569,9,6
4,-0.932,1.261,10,6
4,-2.972,3.710,10,2
4,-3.956,2.492,3,2
4,-5.917,3.244,9,18
4,-3.227,1.170,7,18
4,-5.001,3.620,13,18
4,-0.430,0.000,17,10
4,-2.926,1.275,9,19
4,-5.791,2.969,17,19
4,-2.145,0.276,2,19
4,-2.768,0.000,17,22
4,-6.352,0.000,0,4
4,-8.052,0.000,10,4
4,-8.705,0.000,12,4
4,-1.718,0.196,2,16
4,-7.986,5.841,10,17
4,-3.838,1.467,17,17
4,-2.220,0.793,2,26
