mentions_count,tone_avg,tone_std,source_index,person_index
200,-2.830,1.590,11,0
149,-2.209,1.535,2,0
118,-3.884,3.486,13,0
105,-3.345,0.449,6,5
104,-1.088,0.981,6,7
98,-0.661,0.000,18,9
91,-1.472,1.579,6,1
84,-0.149,0.627,6,10
81,-2.354,2.388,13,1
79,0.560,0.415,6,12
74,-2.231,1.392,0,0
73,-2.330,2.107,2,1
71,4.824,0.000,6,15
71,-1.887,1.755,17,1
66,-1.425,0.000,13,16
61,-2.629,1.343,17,0
58,-0.083,0.000,6,13
55,-1.425,0.000,13,18
53,-1.591,0.745,7,0
48,1.024,0.000,6,21
45,-3.250,2.650,9,1
43,-2.883,0.130,7,22
41,-2.804,0.840,6,3
39,1.278,0.000,6,14
39,-3.699,3.878,1,0
38,-2.582,2.461,1,1
37,-1.898,1.484,6,0
33,-3.958,1.778,8,0
32,-2.063,2.171,0,1
32,-2.806,1.680,11,2
30,0.483,0.269,6,24
30,-2.362,2.133,2,2
27,-1.801,0.000,6,4
25,-4.530,3.438,13,8
25,-1.301,1.559,6,8
22,-4.160,2.427,2,3
21,-2.245,2.217,2,17
21,-3.086,3.309,1,2
21,-3.518,3.276,13,2
21,-3.082,2.995,8,4
20,-2.118,2.135,8,1
20,-1.930,2.262,0,2
20,-2.235,1.364,17,2
20,-1.866,1.862,6,2
20,-3.599,2.028,2,23
18,-2.255,1.876,2,6
18,-2.767,1.462,11,11
17,-2.851,2.865,8,6
17,-2.247,1.892,13,6
17,-2.478,1.650,11,6
15,-0.966,1.181,18,1
15,-2.753,1.378,11,1
15,-1.130,1.021,6,25
15,-0.666,0.021,18,26
15,-3.149,1.813,1,3
15,-0.666,0.021,18,20
15,0.038,1.085,17,19
14,-3.084,1.721,11,8
14,-4.638,2.156,9,4
14,-5.015,2.780,8,11
13,-1.371,1.785,13,17
13,-2.225,0.740,2,4
12,-3.776,3.494,12,1
12,-2.949,2.011,17,3
12,-2.212,1.352,2,19
11,0.334,2.120,16,1
11,-2.539,2.056,17,6
11,-5.185,1.840,13,3
11,-1.878,1.396,1,11
10,-2.189,2.651,14,1
10,-3.078,2.110,13,11
9,-3.970,2.797,9,6
9,-2.085,1.200,6,6
9,-1.447,0.499,2,8
9,-3.669,1.319,3,0
9,-3.420,1.264,1,4
9,-1.780,2.068,17,11
9,-1.811,0.619,13,19
8,1.949,0.000,9,14
8,-0.873,2.166,2,14
8,-1.482,1.851,13,25
8,-2.026,0.323,2,25
8,-3.908,0.000,18,0
8,-3.259,1.907,8,2
8,-0.520,1.382,17,20
7,-0.968,0.740,13,14
7,-3.141,1.845,8,8
7,-1.526,1.216,17,8
7,-3.036,0.000,14,0
7,-1.993,0.000,0,24
7,-4.508,1.588,18,2
7,-6.242,3.276,8,3
7,-2.413,1.499,13,4
6,-0.959,0.622,17,14
6,-1.697,1.204,1,6
6,-3.032,1.258,0,8
6,-1.918,1.768,2,26
6,-1.483,2.080,8,24
6,-2.649,0.000,13,7
6,-0.609,0.955,6,20
6,-2.981,2.239,11,4
5,-2.411,1.359,6,17
5,-3.714,1.518,10,1
5,-3.227,1.599,2,13
5,-3.759,3.275,1,8
5,0.105,0.352,17,26
5,-1.946,1.293,7,2
5,-3.195,2.750,11,3
5,-1.365,1.726,17,4
5,-2.564,2.169,6,11
5,-3.514,1.757,2,11
5,-0.694,2.434,1,19
5,-3.302,1.434,1,23
4,-0.837,2.451,1,17
4,1.359,4.205,3,1
4,-5.299,3.187,9,8
4,-6.340,0.000,18,5
4,-4.455,0.105,1,25
4,-5.257,3.813,3,2
4,-6.410,2.075,7,3
4,-5.237,0.000,18,3
4,-3.131,1.568,3,20
4,-1.701,2.226,2,20
4,-2.383,2.992,0,4
4,-4.322,0.480,10,4
