mentions_count,tone_avg,tone_std,source_index,person_index
120,1.143,1.535,1,1
115,-1.127,2.291,2,0
69,-1.469,2.017,13,0
66,0.301,2.913,18,1
57,-1.021,1.997,17,0
51,-1.242,2.525,1,0
47,-0.209,2.598,8,1
43,-1.233,2.478,8,0
39,0.446,2.076,0,1
36,-1.648,2.433,2,1
35,-1.823,2.143,0,0
32,-0.446,1.084,7,20
30,-1.142,2.799,9,0
29,-0.997,2.866,6,1
28,-0.287,3.005,16,1
28,0.375,1.554,7,1
28,-0.361,1.826,2,2
28,-1.676,1.187,2,8
25,-1.199,2.794,2,7
23,-0.655,2.496,3,1
22,-1.433,2.226,2,3
22,-1.776,0.223,13,11
20,-0.880,1.839,13,3
20,-2.313,1.525,13,10
19,-2.829,3.609,2,5
19,-0.337,3.574,13,2
18,-1.847,0.849,2,4
16,0.664,1.877,1,3
16,-1.470,0.493,2,12
14,-1.051,1.625,3,3
14,-1.171,0.376,13,21
14,-2.246,0.828,7,4
14,-2.173,2.485,1,2
14,1.070,1.663,7,2
14,-4.562,4.004,2,14
13,0.217,0.550,8,16
13,-1.151,4.339,10,0
13,-0.110,1.904,6,0
13,-2.300,2.170,8,7
12,-0.654,2.555,2,25
12,-0.832,2.728,13,5
12,-2.518,2.406,8,2
12,2.920,0.000,1,18
12,-0.885,1.414,2,9
11,1.039,2.802,11,1
11,-2.412,1.201,7,0
11,-0.222,1.350,1,6
11,-2.826,1.194,0,9
11,-0.835,1.910,17,9
10,-2.428,0.960,7,13
10,-2.423,1.484,2,13
10,-0.125,2.530,13,1
10,0.464,1.651,12,0
10,-3.512,2.268,6,2
10,-4.086,0.326,7,17
10,-1.849,0.755,7,12
10,2.867,0.000,13,18
10,-2.050,1.169,2,10
9,1.343,1.466,6,24
9,-2.512,3.757,8,3
9,-2.387,1.583,3,0
9,-0.950,4.425,18,5
9,-0.083,0.000,18,18
9,-1.565,0.303,3,6
9,-0.862,1.964,17,19
9,-0.521,0.945,2,19
9,-1.872,1.530,8,10
9,-2.192,2.060,13,8
8,1.313,0.514,16,22
8,0.293,1.821,13,7
8,-1.991,0.916,1,4
