mentions_count,tone_avg,tone_std,source_index,person_index
84,-1.348,2.445,2,0
78,-1.530,1.471,17,0
70,-1.439,1.905,1,0
56,-2.237,2.047,13,0
45,0.782,2.637,8,1
43,-2.561,1.982,0,0
41,-0.561,0.217,3,15
39,-1.345,2.497,9,0
36,1.376,1.135,2,1
32,-2.317,1.428,2,2
30,-4.181,1.246,8,3
29,-1.983,2.659,8,0
29,-1.295,2.117,2,3
27,-1.166,1.628,1,2
26,-2.327,1.980,2,4
24,-2.854,1.817,2,8
21,-2.296,1.458,7,3
20,-1.805,1.330,3,2
20,-2.449,1.627,8,5
19,-2.128,0.563,2,20
17,0.758,1.806,1,1
17,0.579,1.486,3,1
17,-3.000,2.827,14,0
17,-3.616,1.218,2,5
16,-1.638,2.671,1,4
15,-2.166,1.819,10,0
15,-2.402,1.365,13,3
15,-1.881,0.720,2,7
15,-1.926,2.133,1,6
15,-2.824,2.234,13,6
14,-1.398,2.145,17,4
14,-1.748,1.906,2,10
14,-2.386,0.926,6,8
13,-4.088,1.666,8,6
13,-3.001,1.925,2,6
13,-2.102,2.290,2,17
12,-1.152,2.131,1,3
12,-2.143,1.827,0,2
12,-2.087,2.009,1,16
12,-3.822,0.036,10,7
12,0.427,2.205,2,14
11,-0.892,2.253,1,13
11,-1.626,2.400,2,11
11,-2.200,0.340,11,5
11,-5.416,2.350,8,9
11,-4.352,1.453,2,9
11,-2.761,1.221,0,7
11,-5.166,2.869,2,12
11,-2.134,1.699,17,6
11,-3.845,0.370,8,21
10,-4.275,0.983,8,25
10,-1.971,1.713,7,2
10,-1.378,1.115,17,2
10,-6.103,2.537,10,9
10,1.962,2.680,1,7
10,2.476,0.000,8,7
9,0.949,0.628,13,1
9,-3.217,0.256,7,18
9,-3.233,2.187,10,3
9,-2.389,0.798,13,2
9,-6.528,2.981,18,2
9,-5.409,3.464,1,5
9,-3.025,0.710,7,27
9,-4.931,1.360,8,12
9,-1.847,0.916,13,8
9,-2.595,1.324,2,24
8,-1.427,3.081,13,4
8,-1.025,2.344,2,13
8,-3.310,2.048,8,20
8,-0.929,1.113,3,0
8,-1.350,2.768,6,0
8,-3.417,2.150,9,3
8,-3.283,2.433,13,5
8,-5.195,0.000,12,7
7,-1.081,2.440,8,4
7,-2.270,0.897,3,10
7,-1.553,0.733,17,10
7,-1.144,3.516,8,13
7,-2.022,3.277,13,13
7,2.364,0.000,18,1
7,-2.155,0.699,2,18
7,-0.947,1.625,17,3
7,-1.880,2.225,0,11
7,-3.000,3.012,9,2
7,-1.377,1.343,14,2
7,-1.947,1.498,8,16
7,-5.044,2.575,2,23
7,0.182,0.000,16,7
7,-1.072,0.000,7,7
7,-4.388,3.376,13,12
7,-3.070,3.019,2,22
7,0.343,2.167,8,26
7,-0.336,1.662,7,21
7,-2.444,0.666,1,8
7,-0.850,0.000,18,8
7,-1.392,1.147,17,8
6,-1.784,3.452,9,4
6,-2.614,1.843,0,4
6,-0.217,2.414,3,4
6,-2.247,0.000,18,10
6,-1.219,0.411,17,1
6,1.235,0.000,6,1
6,-0.925,1.295,17,18
6,-2.949,2.354,11,3
6,0.218,0.645,13,11
6,-3.128,1.294,8,2
6,-3.109,0.813,14,5
6,-5.621,4.213,8,23
6,-4.200,3.670,18,19
6,-2.259,0.671,17,19
6,-3.568,1.303,2,19
6,-0.462,2.663,1,14
6,-3.111,2.241,13,14
6,-1.745,1.150,17,14
6,-4.450,1.780,13,22
6,-3.364,2.488,0,6
6,1.454,0.638,2,26
6,-4.171,0.252,13,21
6,-2.223,1.079,5,17
6,-4.744,0.375,8,24
5,-1.113,2.342,1,10
5,-3.281,0.254,7,1
5,-0.730,5.024,16,0
5,0.039,2.164,9,11
5,-1.701,1.216,1,11
5,-0.806,4.056,6,11
5,-2.182,1.433,17,5
5,-1.700,0.637,2,16
5,-4.746,3.045,7,23
5,-2.872,2.534,1,19
5,-2.800,0.162,6,19
5,-1.857,1.820,2,27
5,-2.751,1.921,6,9
5,-3.116,0.238,7,12
5,-1.983,1.853,6,14
5,-1.354,1.099,17,22
5,-2.938,1.261,10,6
5,-0.507,0.949,1,26
5,-3.747,2.464,13,24
4,-1.437,6.386,10,4
4,-2.472,0.000,14,10
4,-2.944,0.383,13,10
4,-0.912,3.019,8,18
4,0.151,0.657,7,25
4,-8.424,3.264,6,25
4,-3.604,2.999,2,25
4,-0.648,2.403,0,3
4,-3.877,1.907,9,5
4,-2.938,0.778,3,16
4,-2.937,1.410,3,9
4,-5.247,3.238,1,12
4,-2.908,2.405,17,12
4,-5.050,3.249,6,12
4,-3.819,1.796,8,22
4,-1.613,0.391,11,22
4,-4.339,2.201,11,6
4,-4.844,3.428,6,6
4,-2.304,0.701,3,21
4,-4.167,0.000,12,21
4,-2.437,1.257,13,17
4,-1.623,0.421,17,17
4,-2.706,1.380,8,8
3,-4.223,2.315,0,10
3,3.300,0.000,9,1
3,-1.374,0.000,0,1
3,0.450,0.000,10,1
3,1.425,0.000,11,1
3,-4.255,1.094,9,18
3,-2.174,0.000,9,20
3,-1.977,0.000,6,20
3,-1.743,1.277,15,0
3,-0.405,0.466,7,0
3,-2.510,0.000,12,11
3,-1.835,0.000,10,2
3,-0.113,3.391,6,2
3,-3.466,0.004,7,5
3,-2.360,0.000,6,5
