mentions_count,tone_avg,tone_std,source_index,person_index
103,-1.757,2.400,2,0
100,-1.206,0.625,7,2
75,-1.313,1.938,17,0
75,-2.452,0.000,13,9
72,-1.150,0.644,7,3
66,-1.063,0.635,7,5
66,-1.758,1.531,13,0
59,-0.916,2.294,1,0
57,-2.452,0.000,13,15
57,2.339,1.625,2,1
46,-1.426,2.940,9,0
46,0.805,1.655,3,1
43,-0.999,0.754,1,14
39,-1.465,1.677,2,4
38,-0.857,2.176,8,4
35,-1.119,0.153,1,10
33,-0.823,2.735,0,0
33,0.438,1.594,0,1
33,-1.016,0.674,7,21
32,-1.100,1.002,7,11
30,-0.781,0.694,7,12
30,-1.078,0.627,7,23
29,-2.225,3.392,8,0
29,-1.620,4.095,8,1
27,0.615,3.091,13,1
26,-6.496,0.960,2,13
25,0.076,2.790,1,1
24,-2.057,1.808,2,8
24,-0.045,1.160,8,3
22,-4.842,1.912,3,13
22,-0.882,0.643,7,4
19,-2.048,1.966,8,7
19,-2.119,1.834,7,22
19,-2.269,2.480,10,0
19,-1.038,0.910,2,20
19,-0.141,3.171,2,19
18,-0.376,0.971,8,2
18,-0.398,0.090,15,16
17,-2.245,1.387,14,0
16,0.493,2.338,2,3
15,-1.575,1.892,1,17
15,-0.642,0.757,8,5
15,-0.711,2.647,6,0
14,-1.254,3.324,2,17
14,-0.327,0.831,17,2
14,-0.303,0.831,17,3
14,-4.314,1.492,2,25
14,-2.849,1.624,2,6
13,-0.631,0.789,8,12
13,-0.225,0.789,3,4
13,-0.476,1.502,17,4
13,-3.384,1.917,2,24
12,-0.745,0.582,13,5
12,-0.751,0.898,8,26
12,-1.740,2.004,3,0
12,-1.150,1.680,8,20
12,-0.222,1.033,10,6
11,-0.678,1.106,13,8
11,-1.962,1.085,2,7
11,-0.874,0.609,13,26
11,-1.421,1.284,17,26
11,-0.499,0.756,8,11
11,-1.003,0.296,2,16
11,-0.993,0.612,13,3
10,-3.289,1.653,9,7
10,-1.471,0.884,13,7
10,-2.311,0.838,3,7
10,-0.635,0.476,2,11
10,-0.639,0.583,13,2
10,-0.936,1.033,1,4
10,-2.949,1.779,0,6
10,-1.152,3.265,1,18
9,-0.929,1.519,15,0
9,-0.799,1.330,18,0
