mentions_count,tone_avg,tone_std,source_index,person_index
82,1.124,0.598,7,8
78,1.396,0.726,7,9
69,1.232,0.542,7,11
60,-1.729,1.789,13,0
57,-2.278,0.659,13,2
54,-2.406,2.361,2,2
54,1.021,0.493,7,13
46,-1.669,1.032,13,1
41,-1.756,0.140,3,12
39,-3.313,1.911,2,0
35,-1.913,1.226,13,3
34,-2.105,2.096,1,0
33,-3.336,1.847,2,1
33,-2.124,1.585,8,0
32,-2.937,2.209,8,1
28,-2.974,2.007,2,4
26,-1.692,0.968,8,4
26,-2.445,0.035,8,10
26,-2.425,0.000,2,10
24,-1.557,1.253,13,4
23,-0.756,4.140,2,7
21,-2.285,1.379,13,6
21,-2.326,1.965,13,5
20,1.651,0.685,7,27
20,-1.335,0.978,13,17
19,-2.696,1.523,8,26
18,-3.103,1.936,8,7
17,-3.966,2.396,11,5
16,-4.228,2.488,11,1
16,-1.521,0.749,1,2
16,-2.803,1.799,8,3
16,-3.147,2.353,8,6
16,-2.094,2.778,13,7
15,-2.733,0.000,9,2
15,-6.752,0.000,9,12
15,-2.957,1.949,2,6
14,-2.660,0.720,7,2
14,-2.161,0.149,6,2
14,-2.782,2.156,0,0
14,-1.735,1.417,17,0
14,-2.373,2.396,2,3
13,-3.472,1.242,10,1
13,-4.095,2.642,11,6
12,-2.809,0.000,10,10
12,-2.948,1.080,1,5
12,-1.892,0.855,8,5
12,-2.601,1.999,1,7
11,-2.751,1.661,1,1
11,-2.821,2.085,2,14
10,-2.198,1.623,17,1
10,-3.670,2.676,9,0
10,-2.329,1.610,13,15
10,-2.251,1.974,13,16
10,-2.216,1.437,17,5
10,-3.295,1.874,2,5
10,-2.994,0.220,3,25
9,-4.787,0.654,12,1
9,-3.293,1.665,12,0
9,-1.854,2.112,1,3
9,-5.568,0.855,11,3
9,-2.257,0.452,8,21
9,-1.366,0.581,13,19
8,-3.678,0.000,11,2
8,-2.591,1.341,10,4
8,0.034,1.656,17,4
8,-2.313,1.309,17,3
8,-2.594,1.641,2,16
8,-2.232,1.109,18,5
8,-1.190,0.394,8,28
8,1.226,3.356,18,7
7,-2.547,1.925,0,1
7,-0.988,1.647,13,14
7,-5.014,0.000,16,2
7,-1.326,1.881,10,0
7,-2.406,0.435,3,6
7,-1.598,0.755,13,20
7,-1.496,0.561,8,15
7,-2.723,1.652,0,5
7,-6.042,1.236,13,22
7,-7.642,2.445,14,19
6,-2.993,0.749,8,18
6,-3.356,1.255,2,18
6,-2.673,1.599,9,1
6,-3.213,0.464,7,1
6,1.232,2.610,14,1
6,-2.681,1.965,1,14
6,-1.826,0.276,3,2
6,-0.773,5.326,14,0
6,-3.741,1.875,9,4
6,-2.844,1.782,9,3
6,-2.244,0.590,8,24
6,-2.437,0.301,2,24
6,-3.337,1.674,10,5
6,-6.752,0.000,9,25
6,-2.747,2.822,6,7
5,-2.648,1.390,18,18
5,-1.908,1.691,8,14
5,-1.020,2.013,17,14
5,-2.842,1.614,1,4
5,-2.054,1.950,0,4
5,-0.569,0.421,0,3
5,-3.182,0.512,7,3
5,-3.077,0.891,6,3
5,-3.182,0.512,7,6
5,-2.533,1.386,17,6
5,-4.058,0.692,9,20
5,-3.856,0.635,2,20
5,-3.040,0.000,11,10
5,-1.613,1.870,1,23
5,-1.799,1.708,1,16
5,-3.364,1.215,6,5
5,-3.940,2.830,2,22
5,-3.340,0.467,2,25
5,-2.952,2.401,10,7
4,-0.204,1.043,13,18
4,-1.195,0.000,18,1
4,-2.312,0.528,3,1
4,-2.410,1.868,16,0
4,-2.592,1.655,6,0
4,-4.832,0.938,10,3
4,-4.234,0.873,12,3
4,-2.093,1.624,1,6
4,-1.341,0.947,0,6
4,-2.159,0.961,1,15
4,-3.044,0.926,17,15
4,-4.856,4.371,11,15
4,-3.736,0.959,2,15
4,-1.274,0.934,8,16
4,-0.850,0.000,6,16
4,-4.074,2.786,9,5
4,-3.606,0.825,0,7
4,-2.957,1.768,3,7
3,0.134,0.057,16,14
3,-2.716,0.302,3,14
3,-3.486,0.000,8,2
3,-3.441,3.007,3,0
3,-1.770,2.066,7,4
3,-2.343,0.986,3,4
3,-4.370,1.059,12,4
3,-2.483,0.743,3,3
3,-1.530,0.672,6,24
3,-3.210,0.374,10,6
3,-4.694,0.739,12,6
3,-3.893,1.286,8,20
3,-3.060,0.684,7,15
3,-5.529,0.000,12,21
3,-2.112,0.422,3,23
3,-2.666,1.888,17,23
3,-1.175,0.702,17,16
3,-3.916,2.348,1,22
3,-6.350,2.504,8,22
2,-0.933,0.411,6,18
2,-3.675,1.409,6,1
2,-4.386,1.241,0,14
2,-1.886,2.177,10,14
2,-2.524,2.691,12,14
2,-6.122,0.000,18,2
2,-2.427,0.000,10,2
2,-5.163,1.661,7,0
2,1.408,1.895,16,4
2,0.447,0.000,18,4
2,-1.195,0.000,18,3
2,-1.264,1.189,7,24
2,0.175,1.960,13,24
2,-2.809,0.000,10,24
2,3.592,3.142,14,6
2,-2.397,1.448,0,15
2,-3.675,1.409,6,15
2,-2.249,0.274,1,17
2,-1.195,0.000,18,17
2,-2.980,0.356,9,21
2,-4.925,0.000,13,21
2,-2.365,0.846,17,21
2,-3.161,0.002,2,21
2,-1.051,0.000,8,23
2,-2.735,0.892,7,23
2,-2.479,0.000,13,23
2,-1.521,0.949,6,23
2,-2.564,0.000,0,16
2,-2.820,1.013,7,16
2,-1.316,0.000,14,5
2,-3.855,0.808,12,5
2,-6.375,0.000,6,22
2,-3.353,0.000,1,19
2,-3.797,0.000,17,19
2,-4.957,0.000,2,19
2,-2.594,0.762,1,28
2,-1.373,0.000,0,28
2,-2.365,0.846,17,28
2,-3.078,0.565,11,28
2,-6.338,0.000,7,7
1,-3.042,,1,18
1,-4.051,,0,18
1,-6.338,,7,18
1,-2.592,,10,18
1,-2.516,,16,1
1,-2.635,,9,14
1,-4.317,,15,14
1,-2.535,,7,14
1,0.447,,18,14
1,-2.371,,11,14
1,-3.420,,0,2
1,-4.317,,15,0
1,-6.613,,11,4
1,-2.679,,6,4
1,-3.040,,11,24
1,-2.729,,9,6
1,-1.195,,18,6
1,-2.679,,6,6
1,-4.317,,15,20
1,-3.537,,7,20
1,-3.426,,10,20
1,-4.426,,12,20
1,-6.613,,11,20
1,-3.232,,9,15
1,-1.195,,18,15
1,-2.912,,3,15
1,-1.055,,16,17
1,-4.673,,8,17
1,-2.912,,3,17
1,-0.473,,17,17
1,-3.132,,1,21
1,-3.537,,7,21
1,-3.426,,10,21
1,-4.672,,6,21
1,-3.017,,10,23
1,-3.642,,11,23
1,-3.770,,2,23
1,-3.426,,10,26
1,-1.254,,2,26
1,-2.516,,16,16
1,-3.156,,18,16
1,-3.017,,10,16
1,-1.624,,3,16
1,-3.642,,11,16
1,-2.368,,3,5
1,-3.241,,15,22
1,-7.077,,10,22
1,-2.516,,16,19
1,-2.408,,8,19
1,-3.366,,7,19
1,-3.344,,11,19
1,-2.276,,7,28
1,-1.195,,18,28
1,-1.608,,10,28
1,-2.679,,6,28
1,-7.054,,9,7
1,-3.241,,15,7
1,-2.564,,12,7
