mentions_count,tone_avg,tone_std,source_index,person_index
86,-0.681,0.000,13,3
64,-1.720,1.945,13,0
47,-2.243,1.639,13,1
45,-2.294,2.149,2,0
29,-1.743,2.742,6,0
27,-3.912,1.493,2,1
26,-0.696,1.268,8,0
23,-1.841,1.858,13,15
23,-1.767,1.869,13,8
22,-0.039,0.999,6,4
22,-1.968,2.084,8,5
22,-5.109,2.003,13,6
19,-3.243,1.972,1,1
19,-0.681,0.000,13,17
18,-1.563,1.845,8,2
17,-0.105,1.674,6,2
17,-1.403,1.375,13,13
16,0.380,1.214,7,27
15,-0.323,3.404,9,0
15,-4.187,1.476,13,9
14,-0.687,0.896,8,7
14,-3.691,1.895,13,14
13,-0.790,1.947,1,0
13,-2.329,2.154,3,1
12,-1.245,1.310,13,12
12,-2.838,2.310,8,22
12,-4.643,1.651,11,1
12,-2.878,1.679,9,2
11,-2.295,1.369,17,0
10,-0.403,1.497,13,7
10,0.012,0.524,1,20
10,-1.884,2.199,13,4
10,-1.273,1.426,11,0
10,-0.868,1.377,8,16
10,-3.562,1.954,2,9
9,-0.475,1.341,2,12
9,-0.681,0.000,13,16
9,-1.604,1.016,3,2
9,-4.262,1.191,11,10
9,-3.296,1.239,2,10
9,-1.507,0.666,8,11
8,-3.070,2.788,8,4
8,-1.463,1.515,2,4
8,-2.746,3.641,0,0
8,-3.771,2.759,3,0
8,-1.574,1.182,13,5
8,-0.431,1.158,2,5
8,-2.843,1.775,8,1
8,1.083,1.112,1,2
8,-0.517,0.281,13,2
8,-1.279,0.654,8,6
7,-0.929,2.270,2,7
7,-0.136,0.127,6,21
7,-0.984,1.351,2,21
7,-4.761,1.985,17,10
7,-3.819,0.000,17,18
7,0.267,2.079,6,23
6,0.550,0.269,9,21
6,-5.356,1.221,11,25
6,-1.587,1.882,11,5
6,-5.290,1.901,6,1
6,0.212,0.787,11,2
6,-2.417,2.178,8,10
6,0.815,0.000,13,24
6,-4.206,0.000,13,11
6,-0.366,0.000,13,23
5,-1.127,1.182,1,4
5,-4.398,3.114,11,4
5,-1.209,1.939,9,5
5,-5.947,2.825,0,5
5,-2.566,1.330,17,1
5,-6.742,0.000,16,2
5,1.505,1.745,1,9
5,-3.206,1.359,3,9
5,-3.678,1.110,3,8
5,-2.627,0.882,17,8
5,-0.766,2.324,16,24
5,-1.961,2.269,9,6
5,-3.109,0.707,7,6
5,-2.164,0.706,2,6
5,-2.523,0.000,18,11
5,-2.166,0.709,2,11
4,2.084,1.125,9,7
4,-1.672,0.616,2,20
4,-1.125,3.718,1,25
4,-1.340,0.695,8,25
4,0.206,0.564,2,25
4,-4.837,1.201,9,4
4,-4.090,5.302,16,0
4,-10.241,12.859,14,0
4,-1.686,3.168,12,0
4,-0.681,0.000,13,22
4,-3.764,1.689,11,22
4,-4.055,1.654,10,5
4,-5.250,1.719,0,1
4,-1.654,0.000,17,14
4,-1.006,1.485,2,16
4,-2.623,0.000,10,2
4,-0.105,1.190,16,27
4,1.467,1.077,7,24
4,-0.805,0.000,8,26
4,-0.946,0.000,9,11
4,-1.274,0.000,3,11
4,-3.821,2.225,13,18
4,-4.119,1.220,2,18
4,-0.624,0.512,0,23
4,-3.809,0.969,1,13
4,-2.305,1.199,11,13
4,-2.118,1.327,2,13
4,-1.544,2.157,3,19
4,-2.554,1.725,17,19
4,-3.444,1.648,2,19
3,2.301,0.000,1,7
3,-1.962,2.521,3,7
3,-0.341,0.000,16,20
3,-2.307,2.427,8,12
3,-1.336,1.473,3,12
3,-2.947,2.395,10,4
3,-1.013,1.621,2,22
3,-1.356,2.141,1,5
3,-5.397,1.458,9,1
3,-14.429,7.083,14,1
3,-3.008,0.000,18,1
3,-2.811,0.530,3,14
3,-2.279,1.737,2,14
3,-0.781,2.088,2,17
3,-0.115,0.914,2,2
3,-4.394,0.114,2,8
3,-0.946,0.000,9,26
3,-2.593,0.000,7,26
3,-2.523,0.000,18,26
3,-1.274,0.000,3,26
3,-2.132,0.826,2,26
3,-4.210,2.978,8,18
3,-0.584,1.273,11,18
3,-1.963,1.091,3,23
3,-1.147,0.000,17,13
3,-2.242,0.543,1,19
3,-4.486,0.765,11,19
2,-1.464,3.032,6,7
2,2.301,0.000,1,21
2,-0.756,0.923,8,21
2,-1.418,0.931,8,20
2,-1.149,0.023,13,20
2,-1.832,2.591,3,20
2,-1.386,1.749,10,12
2,-1.864,0.043,17,12
2,-4.527,2.490,17,25
2,-5.527,0.000,0,4
2,-0.641,0.000,17,4
2,-6.117,7.619,10,0
2,-1.184,5.576,3,5
2,-1.946,0.000,16,1
2,-3.645,0.000,7,1
2,-5.109,0.973,8,14
2,-3.645,0.000,7,14
2,-1.466,0.000,3,16
2,-1.464,3.032,6,16
2,-3.645,0.000,7,15
2,-1.654,0.000,17,17
2,-1.750,0.612,11,17
2,1.830,2.971,0,2
2,-7.678,0.000,6,9
2,-3.645,0.000,7,10
2,-4.823,1.275,13,10
2,-4.737,0.058,3,10
2,-1.405,0.000,9,24
2,-0.366,0.000,8,24
2,-1.809,1.680,3,24
2,-4.206,0.000,13,26
2,-1.274,0.000,3,6
2,-4.371,1.458,0,18
2,-3.056,0.354,3,18
2,-3.187,1.745,8,19
2,-3.645,0.000,7,19
1,-0.371,,7,7
1,-1.654,,17,7
1,1.645,,3,21
1,-3.009,,7,20
1,2.811,,18,20
1,0.888,,9,12
1,1.412,,1,12
1,3.863,,16,12
1,-0.893,,0,12
1,-0.916,,6,12
1,-0.893,,0,25
1,-0.806,,13,25
1,0.323,,12,4
1,-5.004,,8,3
1,-3.271,,17,3
1,-3.594,,2,3
1,-1.905,,9,22
1,-3.324,,1,22
1,-3.549,,18,5
1,-11.504,,10,1
1,-2.047,,12,1
1,-2.672,,0,14
1,-4.167,,14,14
1,-1.970,,0,16
1,-5.797,,8,15
1,-5.831,,11,15
1,-3.922,,2,15
1,-3.324,,1,17
1,-0.546,,18,2
1,-6.109,,0,9
1,-5.831,,11,9
1,-2.672,,0,10
1,-4.583,,6,10
1,-2.623,,10,27
1,-2.591,,1,8
1,-5.797,,8,8
1,-6.550,,7,8
1,-3.008,,18,8
1,-4.037,,11,8
1,-4.583,,6,8
1,-0.459,,6,24
1,0.328,,2,24
1,-2.826,,6,26
1,-2.523,,18,6
1,-2.593,,7,11
1,-2.703,,11,11
1,-2.826,,6,11
1,-6.941,,9,18
1,-2.218,,12,18
1,-4.360,,8,23
1,-0.546,,18,23
1,0.392,,2,23
1,-4.271,,12,13
1,-0.922,,6,13
1,-2.672,,0,19
1,-3.008,,18,19
1,-4.583,,6,19
