mentions_count,tone_avg,tone_std,source_index,person_index
98,5.689,0.000,6,3
79,-1.847,2.074,17,0
73,-4.751,0.000,6,5
69,-2.099,0.000,6,9
59,-3.065,2.505,2,0
57,-0.103,0.000,6,12
50,-0.123,0.534,6,8
43,-2.773,2.580,11,16
43,-1.898,2.408,13,0
42,-3.182,2.336,1,0
35,-2.648,1.908,2,1
34,-3.959,3.052,9,0
34,-3.423,2.302,8,0
33,-3.343,3.556,6,0
30,-0.103,0.000,6,25
27,-1.986,1.842,2,2
26,-0.239,0.121,6,23
23,-1.928,1.246,17,1
23,-2.794,1.862,11,1
21,-2.549,1.750,2,10
20,-3.500,0.864,8,7
19,-1.429,1.565,0,0
19,-4.173,2.553,8,2
18,-4.171,2.401,1,4
18,-4.508,0.885,11,7
17,-1.524,2.057,14,0
17,-3.933,1.607,2,17
17,-2.813,2.508,1,1
17,-4.561,1.510,8,1
16,-3.464,0.000,0,27
15,-4.532,2.508,1,6
15,-2.272,2.406,13,1
14,-6.026,0.000,2,27
14,-4.207,2.465,9,2
14,-4.522,1.895,13,6
13,-4.677,2.409,13,4
13,-2.098,0.913,17,6
13,-3.703,3.025,13,13
12,-2.036,1.080,13,2
12,-3.059,1.807,2,6
12,-6.015,2.639,8,14
12,-3.189,2.800,2,18
12,-2.286,2.008,14,1
11,-0.832,2.044,13,10
11,-1.420,1.300,11,15
11,-7.021,1.180,0,24
11,-4.460,1.273,2,7
11,-3.595,2.112,11,13
11,-3.089,2.070,9,1
10,-1.836,1.684,16,0
10,-4.108,2.911,11,6
9,-1.791,3.568,6,10
9,-3.014,2.474,2,20
9,-1.367,1.723,17,15
9,-2.528,2.092,17,2
9,-3.069,1.993,11,2
9,-3.470,1.974,8,19
9,-4.494,3.725,1,11
9,-3.585,2.131,16,17
9,-4.211,2.892,8,13
8,-3.116,1.624,13,15
8,-6.544,3.625,11,4
8,-5.517,3.112,2,4
8,-4.171,1.314,1,2
8,-1.414,2.797,2,22
8,-3.317,1.564,17,7
8,-3.672,1.651,5,11
8,-3.441,0.000,7,17
8,-3.201,1.105,8,21
8,0.349,1.634,1,8
7,-1.877,1.924,18,0
7,-2.320,0.595,0,11
7,-1.609,0.326,17,11
7,-2.553,2.761,2,11
7,0.183,0.621,6,26
7,-2.495,1.838,17,14
7,-3.773,1.492,2,14
7,-3.298,1.627,17,21
7,-4.203,1.156,11,21
7,-4.457,1.693,1,13
7,-2.830,1.874,17,13
6,-5.203,3.808,3,0
6,-4.329,3.147,11,0
6,-7.842,3.021,9,4
6,-3.460,0.240,9,22
6,-0.852,1.205,1,22
6,-4.031,1.485,9,7
6,-4.395,0.967,1,7
6,-3.641,2.382,8,11
6,-0.322,1.513,13,11
6,-2.668,2.870,2,26
6,-4.356,2.245,9,6
6,-4.902,0.000,3,17
6,-6.232,0.000,13,14
6,0.454,2.199,7,18
6,-2.900,2.400,6,1
5,-1.450,2.370,17,10
5,-1.481,3.370,8,20
5,-3.790,3.648,13,20
5,-0.495,1.431,8,15
5,-5.036,1.883,5,0
5,-6.063,1.638,8,4
5,-5.287,1.766,7,4
5,-7.540,1.362,10,4
5,-2.634,2.756,11,19
5,-1.212,0.465,2,19
5,2.375,0.259,8,22
5,-3.907,0.000,1,24
5,-4.798,2.535,11,14
5,-2.590,3.021,17,18
4,-3.761,1.624,11,20
4,0.000,0.000,18,15
4,0.374,0.615,6,15
4,-1.035,1.312,2,15
4,-3.934,3.427,12,0
4,-6.568,1.562,5,4
4,-9.338,3.807,3,4
4,-7.788,0.868,6,4
4,-1.268,2.790,16,2
4,-0.101,1.474,0,19
4,-2.593,0.045,13,19
4,-3.933,2.262,17,19
4,-0.113,2.011,0,22
4,-7.776,0.000,13,24
4,-6.158,1.319,2,24
4,-4.563,0.000,18,7
4,-2.283,0.331,11,11
4,-2.222,1.464,8,26
4,-4.913,0.000,13,26
4,-2.831,1.155,18,14
4,-2.636,1.800,6,14
4,-1.900,0.874,13,18
4,-2.893,1.730,3,18
4,-3.936,0.723,1,5
4,3.308,0.000,2,5
4,-2.885,1.686,7,1
4,-3.272,1.816,18,1
4,-2.782,1.344,10,1
3,-1.475,1.843,9,10
3,-0.834,0.361,17,20
3,-1.770,0.000,0,15
3,-5.486,2.380,0,4
3,-4.891,0.000,18,4
3,-4.398,3.236,17,4
3,-3.988,1.357,1,19
3,-2.423,0.297,13,7
3,-1.899,1.496,17,26
3,-6.379,1.392,5,6
3,-4.582,2.770,8,6
3,-3.715,3.937,7,14
3,-4.802,0.000,1,21
3,-5.107,0.435,8,18
3,-4.893,1.041,11,18
3,0.149,0.129,16,8
3,0.167,1.253,7,8
2,0.772,1.639,16,10
2,-4.670,0.130,8,10
2,-1.351,0.000,18,10
2,-5.935,2.968,11,10
2,0.218,4.593,1,20
2,-3.596,4.656,7,0
2,-5.555,2.088,10,0
2,-7.792,0.000,14,4
2,0.132,0.713,0,2
2,-3.294,0.494,7,2
2,-0.830,0.240,9,19
2,-3.600,2.797,10,19
2,0.626,0.000,16,22
2,-6.685,0.000,10,24
2,-6.303,0.873,11,24
2,-3.299,5.087,14,26
2,-6.484,0.540,10,6
2,-3.556,0.000,10,17
2,-5.750,2.507,1,14
2,-7.335,2.292,10,14
2,-4.913,0.000,13,21
2,-4.563,0.000,18,21
2,-1.053,1.644,6,21
2,-4.726,0.318,2,21
2,-3.408,1.633,18,13
2,-5.446,2.699,6,13
2,-4.087,1.218,2,13
2,0.889,0.107,7,23
2,-4.281,2.784,0,18
2,-1.175,0.000,10,8
2,-2.569,0.829,2,8
2,-4.907,0.437,5,1
2,-0.531,0.149,3,1
1,-4.802,,1,10
1,-2.945,,7,10
1,-0.977,,14,10
1,-1.622,,10,10
1,-2.244,,3,10
1,-0.284,,12,10
1,-3.906,,9,20
1,-0.387,,16,20
1,-3.464,,0,20
1,-0.304,,7,20
1,-1.365,,18,20
1,-5.858,,3,20
1,-4.130,,9,15
1,-1.622,,10,15
1,-5.639,,15,0
1,-5.639,,15,4
1,-8.545,,12,4
1,-2.646,,18,2
1,-1.622,,10,2
