mentions_count,tone_avg,tone_std,source_index,person_index
101,-1.733,2.004,17,0
98,-2.623,1.667,2,0
92,0.504,0.000,13,6
87,0.504,0.000,13,8
75,-2.139,2.301,13,0
59,-2.876,2.052,2,1
58,-2.954,1.436,13,1
47,-2.092,2.170,6,0
44,-2.403,2.040,1,0
43,-3.344,1.502,11,1
40,-3.572,1.412,8,1
39,-2.176,2.485,9,0
39,-2.659,2.455,1,1
35,-2.533,0.583,8,18
29,-1.328,2.363,8,0
27,-2.911,2.312,17,1
24,-2.133,1.737,2,4
23,-1.590,2.193,13,4
23,-2.034,1.868,3,0
23,-1.597,2.060,5,1
22,-1.472,2.095,8,2
21,-1.780,1.345,2,3
21,-3.829,1.496,1,10
21,-0.857,1.202,17,2
20,-3.529,2.379,3,1
20,-2.788,0.582,16,24
19,-2.104,2.707,0,0
19,-2.070,1.026,2,2
18,-1.626,1.749,13,3
18,-2.852,2.039,2,7
17,-0.173,2.230,13,2
16,-0.937,0.882,8,12
16,-0.090,3.168,1,15
16,-1.017,1.256,3,2
15,-2.249,3.099,13,5
15,-1.285,1.224,17,5
15,-1.854,1.065,18,0
15,-0.743,1.975,13,21
15,-0.717,1.758,9,2
14,-2.456,0.582,18,13
14,-1.686,1.575,11,0
14,-1.189,1.755,16,21
14,-3.237,1.521,2,11
13,-1.477,1.598,11,5
13,-1.816,1.424,2,5
13,-1.336,1.020,11,3
13,-1.863,1.628,17,20
13,-1.391,2.108,6,2
12,0.868,3.268,9,3
12,0.065,4.314,8,17
12,-1.091,0.611,11,2
12,-3.036,2.225,2,9
11,-1.813,1.403,9,4
11,-3.977,1.256,1,13
11,-2.785,1.725,8,11
11,-3.172,1.605,6,1
11,-3.254,0.928,8,7
11,-2.603,1.535,11,9
10,-1.540,2.146,3,4
10,-1.634,1.455,11,26
10,-1.351,2.721,12,0
10,-0.958,1.398,8,3
10,-1.767,1.791,3,3
10,-2.769,1.829,7,1
10,-1.575,0.590,11,17
10,-0.812,2.744,2,14
10,-3.066,0.591,13,7
9,-1.572,1.479,18,5
9,-0.378,1.042,17,4
9,-1.124,2.396,13,12
9,-1.051,1.595,11,16
9,-2.608,0.584,18,10
8,-1.262,1.595,9,5
8,-2.930,1.607,3,5
8,-2.852,1.229,11,13
8,-2.797,1.451,2,13
8,-3.001,3.274,8,22
8,-2.862,1.383,17,11
8,-2.983,0.981,2,19
8,-1.611,1.190,17,25
8,-1.020,1.179,18,16
8,-1.511,1.302,17,16
8,-2.480,1.593,2,10
8,-4.106,1.999,11,7
8,-0.773,2.021,18,2
8,-3.298,1.778,9,9
8,-1.938,1.118,18,9
7,-2.941,2.632,0,5
7,-1.143,1.540,6,4
7,-1.146,2.664,14,0
7,-1.420,1.627,1,3
7,-4.867,2.548,18,1
7,-5.357,2.326,10,1
7,-4.151,1.832,11,19
7,-2.395,1.735,2,15
7,-2.783,1.739,8,20
7,-0.638,2.647,13,10
7,-1.722,1.588,3,10
7,-2.796,1.397,3,7
7,-5.080,4.189,14,2
7,-2.617,1.939,8,9
7,-0.470,0.931,18,23
7,-1.235,0.098,17,23
7,-1.270,0.776,2,23
6,-1.431,2.237,8,5
6,-2.309,1.130,16,0
6,-0.563,2.232,13,22
6,-2.099,0.098,17,22
6,-1.230,1.412,11,22
6,-3.211,0.987,9,1
6,-3.040,0.787,11,15
6,-4.635,2.160,11,27
6,-5.003,2.047,2,27
6,0.053,1.401,11,25
6,-2.742,3.176,13,16
6,-1.962,2.070,2,16
6,-2.963,0.882,13,14
6,-1.819,2.740,3,14
6,-2.253,5.048,17,14
6,-0.305,2.692,6,14
6,-3.879,2.597,17,7
5,-0.965,0.824,0,4
5,-0.882,0.000,5,26
5,-1.365,1.896,13,26
5,-1.624,0.534,2,26
5,-1.893,1.911,3,13
5,-1.860,1.739,2,22
5,-4.063,1.896,0,11
5,0.350,1.314,6,3
5,-3.010,1.322,8,15
5,-2.631,1.399,13,15
5,-2.792,2.091,8,27
5,-3.683,1.045,17,27
5,-0.700,0.367,9,17
5,-2.373,0.427,18,25
5,-0.482,2.568,6,24
5,0.614,2.010,18,14
5,-4.072,1.299,1,7
5,-6.645,3.221,5,7
5,-4.556,1.606,6,7
5,-2.024,1.324,1,2
5,-1.934,2.534,3,9
5,-1.844,3.557,17,9
4,0.137,1.137,8,4
4,-0.447,0.325,1,26
4,1.057,0.168,6,26
4,-0.309,1.425,9,12
4,-2.711,1.157,3,12
4,-3.602,1.031,6,12
4,-3.093,0.694,2,12
4,-2.277,0.000,6,13
4,-1.580,1.146,10,0
4,-2.920,0.856,3,11
4,-4.500,0.000,14,19
4,-0.307,1.061,17,19
4,-1.008,1.651,3,20
4,-0.632,2.081,6,20
4,-3.719,3.322,13,27
4,-7.957,8.307,14,17
4,-0.518,0.154,17,17
4,-1.121,0.723,13,25
4,-0.757,0.492,2,25
4,-1.665,0.628,8,24
4,-1.550,1.039,9,16
4,-2.482,2.153,3,16
4,0.229,1.687,1,14
4,-1.725,3.599,8,14
4,-2.702,1.792,11,10
4,-1.945,3.103,1,9
4,-1.741,0.578,8,23
3,-14.148,13.985,14,5
3,-2.564,0.000,18,12
3,-2.218,0.751,17,12
3,-1.840,0.000,8,13
3,-1.822,0.825,5,0
3,-0.287,0.059,1,22
3,-0.147,0.000,9,21
3,-3.385,0.724,13,11
3,-1.157,0.000,18,11
3,-3.731,1.765,2,18
3,-2.054,3.339,1,19
3,-3.856,0.000,8,19
3,-2.486,0.315,7,19
3,-2.037,0.000,9,15
3,-0.794,0.000,0,15
3,-2.058,0.020,7,15
3,-2.904,0.076,9,20
3,-1.746,1.302,1,20
3,-1.131,1.696,2,20
3,-0.822,1.074,9,27
3,-0.134,0.232,13,17
3,-2.151,1.162,2,17
3,-2.207,3.271,8,16
3,-0.547,2.370,9,14
3,-1.840,0.000,8,10
3,-2.277,0.000,6,10
3,-3.619,1.439,9,7
3,-1.914,2.973,7,7
3,-3.067,0.000,18,7
3,-6.217,1.927,10,7
3,-0.187,0.323,0,2
3,0.479,0.041,12,2
2,-1.612,0.245,1,5
2,-0.305,0.071,1,4
2,-3.108,1.362,16,4
2,-0.727,0.000,10,4
2,0.288,0.408,12,4
2,-1.852,0.000,5,12
2,-1.812,0.471,16,12
2,-10.814,0.000,0,12
2,-0.260,0.000,12,12
2,-1.574,5.780,11,12
2,-3.145,3.057,3,22
2,-1.100,0.318,1,21
2,-4.145,1.466,9,11
2,-1.506,2.789,1,11
2,-6.494,0.000,5,11
