mentions_count,tone_avg,tone_std,source_index,person_index
141,-2.118,1.739,13,0
136,-1.650,2.195,2,0
132,-1.607,2.114,1,0
124,-2.139,2.095,0,0
100,-2.516,0.639,13,1
74,-1.509,1.784,17,0
58,-2.141,2.682,8,0
54,-2.037,2.029,2,1
40,-1.535,1.634,1,2
40,-2.353,0.396,13,27
38,-1.224,0.371,5,26
36,-2.484,0.733,13,10
35,-1.905,3.112,9,0
34,-2.399,0.488,13,14
34,-2.399,0.488,13,15
30,-1.572,1.556,13,2
28,-1.452,1.963,6,0
27,-3.151,2.224,0,1
27,-1.822,1.182,7,0
26,-1.335,3.210,1,1
26,-0.727,1.321,2,3
25,-2.114,0.888,7,7
22,-0.743,1.097,1,9
22,-1.843,1.502,2,2
22,3.251,2.055,1,3
21,-1.356,3.207,10,0
21,-0.635,1.676,2,16
20,-1.475,1.786,6,1
20,-2.662,1.707,13,19
19,-2.107,1.177,13,25
19,-1.349,1.563,2,9
19,-1.405,1.482,1,13
19,-1.369,2.325,16,0
19,-2.280,1.869,8,2
19,-2.175,1.090,7,4
19,-1.339,1.349,2,5
18,-2.907,0.610,13,13
18,-2.021,1.642,0,2
18,-5.400,2.333,1,12
18,-1.062,1.535,7,3
17,-2.774,1.581,2,7
17,-6.240,1.020,13,12
17,-0.770,1.484,1,4
17,-1.705,0.955,7,11
17,-2.677,1.379,0,6
16,-2.424,2.359,10,2
16,-3.681,1.794,2,12
16,-1.134,3.400,8,4
16,-1.835,1.378,1,6
15,-1.003,1.436,3,2
15,-2.436,1.472,13,6
15,-1.557,0.505,7,23
14,-4.033,0.878,18,18
14,-2.852,0.012,13,17
14,-1.297,3.814,8,3
14,0.191,1.448,6,3
13,-1.296,1.071,1,24
13,-2.509,2.317,8,5
13,0.124,1.072,7,5
13,-1.149,1.916,8,20
12,-0.907,0.260,0,22
12,-1.145,1.734,1,11
12,-1.291,2.295,8,10
11,-4.107,3.494,8,1
11,-1.743,1.429,7,1
11,-2.027,2.575,3,0
11,-1.487,0.858,2,22
11,-1.161,0.545,13,8
10,-0.591,0.959,3,1
10,-1.386,2.480,17,1
10,-1.810,1.468,14,0
10,-1.026,0.480,17,8
10,-2.527,1.794,2,11
10,-2.417,2.587,0,19
10,-2.952,2.373,2,19
9,-1.565,2.576,1,25
9,-1.714,1.319,6,2
9,0.384,0.877,7,22
9,-1.936,1.961,1,8
9,-0.762,1.143,18,8
9,-1.659,1.344,8,24
9,-1.829,1.456,2,14
9,-1.443,1.078,17,4
9,-1.829,1.456,2,15
9,-4.587,3.607,8,21
9,-2.382,2.038,2,21
9,-2.176,2.552,13,11
9,-3.629,1.459,10,5
8,-3.924,3.049,9,1
8,-1.500,2.298,18,2
8,-1.946,1.070,7,17
8,-2.419,1.219,2,17
8,-0.128,0.942,0,3
8,0.311,1.289,0,4
8,-1.448,1.085,0,5
8,-1.128,1.116,3,5
7,-2.494,1.861,8,13
7,-2.065,2.568,6,22
7,-0.371,0.654,9,8
7,-0.138,1.238,8,8
7,-0.942,0.282,10,8
7,-1.064,0.904,17,16
7,-1.020,1.596,2,4
7,-3.073,2.348,8,11
7,-1.413,3.398,6,11
7,-2.053,1.201,17,6
7,-3.431,2.176,11,6
7,-1.759,0.883,2,6
7,-0.958,0.675,13,23
7,-1.873,1.670,2,23
7,-1.079,0.433,17,10
7,-0.960,0.852,2,10
6,-1.092,1.416,7,9
6,-1.384,1.674,13,9
6,-2.528,0.918,3,18
6,-1.479,0.283,3,13
6,-1.346,2.651,12,0
6,-1.426,1.535,9,2
6,-2.869,0.573,12,2
6,-1.190,1.738,1,7
6,-3.059,2.060,13,7
6,-1.193,1.543,6,8
6,-0.378,1.051,3,3
6,-1.978,1.786,1,16
6,-3.080,4.593,9,4
6,-0.685,1.205,3,4
6,-0.036,1.178,6,4
6,-1.579,1.241,17,11
6,-5.694,0.695,2,26
6,0.042,0.545,1,5
6,-0.738,1.331,11,5
6,-1.098,1.368,13,20
5,0.479,1.867,8,9
5,-1.918,2.568,17,18
5,-1.215,0.579,7,2
5,-2.528,2.231,8,17
5,-2.703,0.792,0,7
5,-1.709,1.600,2,8
5,-1.580,0.500,10,24
5,-1.679,1.193,8,6
5,-4.405,2.680,10,6
